component_id	serovar	reference_strain	gene_name	aliases	accession	gene_order	orientation	sequence_length	upstream_neighbor	downstream_neighbor	functional_category	source_publication	doi	local_fasta	sequence_sha256	notes
S02_KC795303.1	2	SW140	gptA2		KC795303.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1230	funC2	wbuS2	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795303_1.fasta	af8334476fb68fd65dfe115fd2fcc7cf2cab8bd7d4fdac784d1e8d1bd09f5bf8	DOWNLOADED
S02_KC795304.1	2	SW140	wbuS2		KC795304.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	981	gptA2	wzy2	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795304_1.fasta	6492bc84a5e18471b7124b24f7c5a62e150136ce16a844d2ee8a601e9c37acab	DOWNLOADED
S02_KC795305.1	2	SW140	wzy2		KC795305.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	876	wbuS2	cap5E2	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795305_1.fasta	c3ea4ae9af4fb575c2a814e05b51948b13d58485ac82e0a2b909fa73b2412ab1	DOWNLOADED
S02_KC795306.1	2	SW140	cap5E2		KC795306.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1032	wzy2	ndeA2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795306_1.fasta	53abe70c2563c869479c2e3f239736ef23034f464a589aadb3a34cd8e07f48d2	DOWNLOADED
S02_KC795307.1	2	SW140	ndeA2		KC795307.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1113	cap5E2	naeA2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795307_1.fasta	7994cc208742439ae93dc60b399105f1d2465a13637cc7fbbe82e5761d814ef7	DOWNLOADED
S02_KC795308.1	2	SW140	naeA2		KC795308.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1131	ndeA2	gltA2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795308_1.fasta	3f6cd30355789bacf518713e0aa369ec69bf97736e37333025706a38d7710e39	DOWNLOADED
S02_KC795309.1	2	SW140	gltA2		KC795309.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1218	naeA2	ndeB2	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795309_1.fasta	9ddae7a9cea47d481da7210f3d72f8d30eba7e3bc27485584d6e7a0f9948d126	DOWNLOADED
S02_KC795310.1	2	SW140	ndeB2		KC795310.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	855	gltA2	pilT2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795310_1.fasta	71e9bba751a2b2b356a6fa93eba47e61d1f9a2f5d2ca03b0e79393eda1170888	DOWNLOADED
S02_KC795311.1	2	SW140	pilT2		KC795311.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	393	ndeB2	cap5M2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795311_1.fasta	87690d63bb24976013df7278452a03dc0cbc55c9773f220c164faa6909c47aac	DOWNLOADED
S02_KC795312.1	2	SW140	cap5M2		KC795312.1	15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	549	pilT2	capD2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795312_1.fasta	542a800e48ff769df95e7c275495c549ffb6b6082308333b238d0ebe4a6f08c6	DOWNLOADED
S02_KC795313.1	2	SW140	capD2		KC795313.1	16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1941	cap5M2	wza2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795313_1.fasta	0fa09321701348da4ceb3fdba08f8e080de6785a529076fb4e0781117f6c23d9	DOWNLOADED
S02_KC795314.1	2	SW140	wza2		KC795314.1	17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1155	capD2	wzb2	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795314_1.fasta	206a231dba331a0fd24ee31c6deb161a3cfcb3bd87e631e7ad544d10856504a3	DOWNLOADED
S02_KC795316.1	2	SW140	wzb2		KC795316.1	18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza2	wzs2	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795316_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S02_KC795317.1	2	SW140	wzs2		KC795317.1	19	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb2	iscR2	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795317_1.fasta	892556d5a80ef049bbd75edcc6ca3012540ef9b0c6de3bc15a6bf54678dc87dc	DOWNLOADED
S02_KC795318.1	2	SW140	iscR2		KC795318.1	20	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs2		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795318_1.fasta	221bb21de4b5b7ab5b96c109bbca659ccc0e1f31d78b21148546e2d520f75ce5	DOWNLOADED
S03_KC795319.1	3	SW114	funA3		KC795319.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		dgdA3	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795319_1.fasta	3e99a5b514eb01c4a2ac54207befa8c6fc473a4cf69b9a95ad52482b66b92615	DOWNLOADED
S03_KC795320.1	3	SW114	dgdA3		KC795320.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1068	funA3	pbpA3	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795320_1.fasta	12b7abaa5eb983d2494691d4128f5249d24c8fd68ca142f4b20421b3cdfc15d2	DOWNLOADED
S03_KC795321.1	3	SW114	pbpA3		KC795321.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1263	dgdA3	ppoA3	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795321_1.fasta	c44ff07ae5d9ae12da7ac79a5797b03fa340626cc05b20e7b048d9811ad40274	DOWNLOADED
S03_KC795322.1	3	SW114	ppoA3		KC795322.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1245	pbpA3	gltB3	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795322_1.fasta	a73121bcb8fad027103b78ad9f028594a22c96c64355c86a65f7d5175754576f	DOWNLOADED
S03_KC795323.1	3	SW114	gltB3		KC795323.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1062	ppoA3	naeB3	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795323_1.fasta	de72a59d2915b74306bf849f3e4418e6919f7e8353a11a1d15899861748a1b82	DOWNLOADED
S03_KC795324.1	3	SW114	naeB3		KC795324.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1125	gltB3	funG3	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795324_1.fasta	073988333c6353e9c4d31b20d7bd32f2ef8567b9f7946efe1c0307e7de1c4b3b	DOWNLOADED
S03_KC795325.1	3	SW114	funG3		KC795325.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	993	naeB3	funH3	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795325_1.fasta	71a06a160a01cd3536701db10f348b1ddcb47b15b3f5537d47be013f89507889	DOWNLOADED
S03_KC795326.1	3	SW114	funH3		KC795326.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1032	funG3	gltC3	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795326_1.fasta	d8870249dd84c6a168acbc5668f0c3bdd8b8c6fccbded3dfcc7e45284ceb460e	DOWNLOADED
S03_KC795327.1	3	SW114	gltC3		KC795327.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1050	funH3	gltD3	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795327_1.fasta	4d22fa214a86dcd252212e089d5f80e003162b36a3124bf6c5673c2b7e894f9c	DOWNLOADED
S03_KC795328.1	3	SW114	gltD3		KC795328.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	804	gltC3	lstA3	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795328_1.fasta	ed548d80744ebf152017dfb794e39e33ab2ae3fa2f7fe296ffa0d585873d29e8	DOWNLOADED
S03_KC795329.1	3	SW114	lstA3		KC795329.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1269	gltD3	traA3	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795329_1.fasta	9993294a0cd80034a5b2985c22594214b9fd3df271f3761747b1abba7911514d	DOWNLOADED
S03_KC795330.1	3	SW114	traA3		KC795330.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	654	lstA3	wza3	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795330_1.fasta	8545985009663dd56deb2f80b0777e11848a32dd97beae4dd7651bf9e522f515	DOWNLOADED
S03_KC795331.1	3	SW114	wza3		KC795331.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1155	traA3	wzb3	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795331_1.fasta	2afcbc6e89049ce1f1d640914d4495cb44c4e80bc8f6a425077dcf0a26c50935	DOWNLOADED
S03_KC795333.1	3	SW114	wzb3		KC795333.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza3	wzs3	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795333_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S03_KC795334.1	3	SW114	wzs3		KC795334.1	15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb3	iscR3	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795334_1.fasta	fe3ba41415908b72bd43c3287d6594e517ad73c0e1bce13fed2e951125f72b74	DOWNLOADED
S03_KC795335.1	3	SW114	iscR3		KC795335.1	16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs3		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795335_1.fasta	73488d6c4550b3b1cebf43d596c3eb48ad0ef2af67b58675e69ebf5c2637c69e	DOWNLOADED
S04_KC795351.1	4	SW124	funA4		KC795351.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		neuA4	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795351_1.fasta	124c258be5da3363b204cde99ff0b77c883b40363f5559bb611991d3078dd24e	DOWNLOADED
S04_KC795352.1	4	SW124	neuA4		KC795352.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	713	funA4	wzx4	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795352_1.fasta	9bd827a5aae9b4edadeb300dab5ce28f2c1e03d1b17b18bff465dcdbc0edb451	DOWNLOADED
S04_KC795353.1	4	SW124	wzx4		KC795353.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2136	neuA4	mepA4	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795353_1.fasta	e86e8739c47e698876ab852da40d1886a79ff61f6c5db28cd2f80f6f19e8e81e	DOWNLOADED
S04_KC795354.1	4	SW124	mepA4		KC795354.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1095	wzx4	gltF4	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795354_1.fasta	5eaf04c3c5e6ef36ea09f78ddcb00d1d1fbf8dcaf0f93fd57d255a31013a4cee	DOWNLOADED
S04_KC795355.1	4	SW124	gltF4		KC795355.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	907	mepA4	wciP4	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795355_1.fasta	e40c2f70177fd2c10ec12786a90edb723f2fc2ac018e339ffc22ebbf600a61e8	DOWNLOADED
S04_KC795356.1	4	SW124	wciP4		KC795356.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	687	gltF4	gltG4	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795356_1.fasta	1104191ac9fbd5c8e8cd3ba7ff6e59e6e46aa338435e06bc838d55dbf8668f35	DOWNLOADED
S04_KC795357.1	4	SW124	gltG4		KC795357.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	753	wciP4	lstB4	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795357_1.fasta	e5b61f55c4970ad1fc38f980999429b39f5ac53c579636698b6923fbe6e43406	DOWNLOADED
S04_KC795358.1	4	SW124	lstB4		KC795358.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	261	gltG4	lstA4	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795358_1.fasta	caedcb3b70b352f569a2a20d23faa399e62ad9ce216e800876e7433622e20df4	DOWNLOADED
S04_KC795359.1	4	SW124	lstA4		KC795359.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	927	lstB4	wza4	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795359_1.fasta	e38b6251c181224ba8f890764662d1708c2d72c9df4213d6692e26356e05a9fb	DOWNLOADED
S04_KC795360.1	4	SW124	wza4		KC795360.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1158	lstA4	wzb4	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795360_1.fasta	92c8b937186855d45d992019f710c11f326e4ba096aa5cb79ccd6bceacc7e117	DOWNLOADED
S04_KC795362.1	4	SW124	wzb4		KC795362.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza4	wzs4	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795362_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S04_KC795363.1	4	SW124	wzs4		KC795363.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb4	iscR4	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795363_1.fasta	35f68d685f2431cf74d26e2a06590f18a45d798da7d3f6ba3f38c2600bf87844	DOWNLOADED
S04_KC795364.1	4	SW124	iscR4		KC795364.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs4		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795364_1.fasta	235a7558e94b3ca4bed1f0f8ba2607a16ce7714a3963d0e605b8b06df11b8862	DOWNLOADED
S05_KC795336.1	5	Nagasaki	funA5		KC795336.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	471		neuA5	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795336_1.fasta	0b636fbf295c678fddb303587b564a6914ee10c908aecb37762d6a64ec984e47	DOWNLOADED
S05_KC795337.1	5	Nagasaki	neuA5		KC795337.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	681	funA5	wzx5	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795337_1.fasta	802f8a8f2fb43aadf831beaf8ba6091562d3de1061e3d6f9bf0ebea64f16e61f	DOWNLOADED
S05_KC795338.1	5	Nagasaki	wzx5		KC795338.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1197	neuA5	lsgB5	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795338_1.fasta	4cf7c3252aaa5c41d0098996a95441702998ad29b0420b001e241a1120b61d10	DOWNLOADED
