serovar	reference_strain	howell_cds_accession	gene_name	aliases	gene_order	orientation	upstream_neighbor	downstream_neighbor	sequence_length	evidence_source
1	N4	KC795289.1	gltA1		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	naeA1	ndeB1	1218	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795290.1	ndeB1		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltA1	cap5M1	855	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795291.1	cap5M1		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ndeB1	capD1	549	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795292.1	capD1		14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	cap5M1	wza1	1941	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795293.1	wza1		15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	capD1	wzb1	1162	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795295.1	wzb1		16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza1	wzs1	445	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795296.1	wzs1		17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb1	iscR1	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795297.1	iscR1		18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs1		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795298.1	funA2		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		wzx2	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795299.1	wzx2		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA2	funE2	1200	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795300.1	funE2		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzx2	hydA2	1032	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795301.1	hydA2		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funE2	funC2	1539	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795302.1	funC2		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	hydA2	gptA2	270	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795303.1	gptA2		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funC2	wbuS2	1230	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795304.1	wbuS2		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gptA2	wzy2	981	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795305.1	wzy2		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wbuS2	cap5E2	876	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795306.1	cap5E2		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzy2	ndeA2	1032	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795307.1	ndeA2		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	cap5E2	naeA2	1113	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795308.1	naeA2		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ndeA2	gltA2	1131	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795309.1	gltA2		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	naeA2	ndeB2	1218	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795310.1	ndeB2		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltA2	pilT2	855	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795311.1	pilT2		14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ndeB2	cap5M2	393	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795312.1	cap5M2		15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	pilT2	capD2	549	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795313.1	capD2		16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	cap5M2	wza2	1941	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795314.1	wza2		17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	capD2	wzb2	1155	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795316.1	wzb2		18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza2	wzs2	444	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795317.1	wzs2		19	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb2	iscR2	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
2	SW140	KC795318.1	iscR2		20	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs2		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795319.1	funA3		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		dgdA3	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795320.1	dgdA3		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA3	pbpA3	1068	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795321.1	pbpA3		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	dgdA3	ppoA3	1263	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795322.1	ppoA3		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	pbpA3	gltB3	1245	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795323.1	gltB3		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ppoA3	naeB3	1062	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795324.1	naeB3		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltB3	funG3	1125	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795325.1	funG3		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	naeB3	funH3	993	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795326.1	funH3		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funG3	gltC3	1032	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795327.1	gltC3		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funH3	gltD3	1050	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795328.1	gltD3		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltC3	lstA3	804	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795329.1	lstA3		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltD3	traA3	1269	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795330.1	traA3		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	lstA3	wza3	654	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795331.1	wza3		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	traA3	wzb3	1155	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795333.1	wzb3		14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza3	wzs3	444	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795334.1	wzs3		15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb3	iscR3	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
3	SW114	KC795335.1	iscR3		16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs3		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795351.1	funA4		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		neuA4	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795352.1	neuA4		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA4	wzx4	713	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795353.1	wzx4		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	neuA4	mepA4	2136	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795354.1	mepA4		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzx4	gltF4	1095	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795355.1	gltF4		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	mepA4	wciP4	907	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795356.1	wciP4		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltF4	gltG4	687	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795357.1	gltG4		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wciP4	lstB4	753	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795358.1	lstB4		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltG4	lstA4	261	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795359.1	lstA4		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	lstB4	wza4	927	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795360.1	wza4		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	lstA4	wzb4	1158	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795362.1	wzb4		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza4	wzs4	444	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795363.1	wzs4		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb4	iscR4	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
4	SW124	KC795364.1	iscR4		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs4		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795336.1	funA5		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		neuA5	471	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795337.1	neuA5		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA5	wzx5	681	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795338.1	wzx5		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	neuA5	lsgB5	1197	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795339.1	lsgB5		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzx5	funK5	969	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795340.1	funK5		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	lsgB5	wcwK5	1008	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795341.1	wcwK5		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funK5	wcfQ5	1032	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795342.1	wcfQ5		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wcwK5	wbgX5	819	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795343.1	wbgX5		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wcfQ5	wbgY5	1152	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795344.1	wbgY5		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wbgX5	capD5	594	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795345.1	capD5		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wbgY5	wza5	1941	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795346.1	wza5		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	capD5	wzb5	1155	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795348.1	wzb5		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza5	wzs5	444	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795349.1	wzs5		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb5	iscR5	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
5	Nagasaki	KC795350.1	iscR5		14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs5		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795365.1	funA6		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		neuA6	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795367.1	neuA6		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA6	wzx6	681	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795368.1	wzx6		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	neuA6	lsgB6	1197	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795369.1	lsgB6		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzx6	gltH6	972	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795370.1	gltH6		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	lsgB6	funL6	825	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795371.1	funL6		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltH6	gltI6	1167	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795372.1	gltI6		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funL6	wcfQ6	996	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795373.1	wcfQ6		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltI6	wbgX6	816	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795374.1	wbgX6		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wcfQ6	wbgY6	1152	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795375.1	wbgY6		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wbgX6	funM6	594	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795376.1	funM6		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wbgY6	funN6	1293	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795377.1	funN6		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funM6	capD6	522	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795378.1	capD6		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funN6	wza6	1941	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795379.1	wza6		14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	capD6	wzb6	1155	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795381.1	wzb6		15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza6	wzs6	444	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795382.1	wzs6		16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb6	iscR6	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
6	131	KC795383.1	iscR6		17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs6		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795384.1	funA7		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		neuA7	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795386.1	neuA7		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA7	wzx7	681	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795387.1	wzx7		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	neuA7	astA7	1197	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795388.1	astA7		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzx7	funP7	1008	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795389.1	funP7		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	astA7	funQ7	795	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795390.1	funQ7		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funP7	gltJ7	1182	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795391.1	gltJ7		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funQ7	cap5E7	1215	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795392.1	cap5E7		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltJ7	ndeA7	1050	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795393.1	ndeA7		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	cap5E7	naeA7	1113	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795394.1	naeA7		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ndeA7	gltA7	1131	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795395.1	gltA7		11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	naeA7	ndeB7	1218	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795396.1	ndeB7		12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltA7	pilT7	620	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795397.1	pilT7		13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ndeB7	cap5M7	393	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795398.1	cap5M7		14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	pilT7	capD7	549	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795399.1	capD7		15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	cap5M7	wza7	1950	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795400.1	wza7		16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	capD7	wzb7	1155	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795402.1	wzb7		17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wza7	wzs7	444	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795403.1	wzs7		18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzb7	iscR7	2088	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
7	174	KC795404.1	iscR7		19	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzs7		447	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795405.1	funA8		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		neuA8	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795406.1	neuA8		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA8	wzx8	711	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795407.1	wzx8		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	neuA8	astA8	1197	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795408.1	astA8		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzx8	gltH8	1008	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795409.1	gltH8		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	astA8	adlA8	1002	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795410.1	adlA8		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gltH8	scdA8	1158	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795411.1	scdA8		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	adlA8	funS8	1203	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795412.1	funS8		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	scdA8	gltK8	801	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
8	C5	KC795413.1	gltK8		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funS8	wbgX8	819	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
